"No","Tip","Mahkeme/Daire","Esas","Karar","Tarih","ID (Sinerji)","URL","Anahtar Kelimeler","Snippet"
"559","Yargıtay","Ceza Genel Kurulu","2016/762","2017/53","2017-02-07","ekxLLzJCdEhpU2RNN2hjclU4OWJ5UT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ekxLLzJCdEhpU2RNN2hjclU4OWJ5UT09","boğazına, travma","anlatımına göre; sanığın sol eli ile mağdurenin iki bileğinden geriye doğru tutup, sağ eli ile bıçağı boğazına ... etrafta ev ya da insan olmadığını, sanığın kendisini koltuğun üzerine atıp cebinden çıkarttığı bıçağı boğazına ... çıkardıktan sonra sol eli ile iki bileğinden kavrayıp geriye doğru tuttuğunu, sağ eli ile de bıçağı boğazına ... yere yatırıp üstünü çıkardığını, bağırması üzerine sağ eliyle iki elini tutup diğer elindeki bıçağı boğazına ... olarak değerlendirildiği, işlevselliğinde or"
"560","Yargıtay","Ceza Genel Kurulu","2015/2-349","2017/23","2017-01-24","RFhGb1l1WEFLcWdnT2x0Sm05VmRqbjVueXNlUlFvY0s","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RFhGb1l1WEFLcWdnT2x0Sm05VmRqbjVueXNlUlFvY0s","travma, boğazına","kızarıklık, sağ bacak ön yüzde sıyrık, makatta taze kan ve anal bölgede ekimoz tespit edildiğinin ve travma ... Kuruçeşme denilen yere geldiklerinde bisikletlerden indiklerini,....'ın tekrar bıçağını çıkarıp boğazına ... , bu şekilde Batkın Köyü yakınlarındaki bir dere kenarına geldiklerini,....'ın, bıçağı mağdurun boğazına"
"561","Yargıtay","Hukuk Dairesi","2016/25791","2016/21144","2016-12-13","YlU1M204eEZycDVtdjE2ZHNncEwvK01vWWZMYjU0ZGw","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/YlU1M204eEZycDVtdjE2ZHNncEwvK01vWWZMYjU0ZGw","boğazında, travmalar","sırasında çocuk anne olan ... bebeğini boğmak istediği, davacının 2 defa çocuk annenin ellerini bebeğinin boğazında ... belirtilerek davacının bu gibi durumların çok önemli olduğu ve aciliyet teşkil ettiği, çocukların yaşadıkları travmalar"
"562","Yargıtay","Ceza Genel Kurulu","2016/755","2016/454","2016-11-29","ZWJlSWlmOXdUNjlaZ2FBUGpCVGhTcnJlclEwbE5LTUc","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/ZWJlSWlmOXdUNjlaZ2FBUGpCVGhTcnJlclEwbE5LTUc","hamileliğine, travmatik, hamile, hamilesin","belirtilmiş, Eskişehir Doğumevi Hastanesi tarafından düzenlenen raporda; kürtaj uygulanan mağdurenin hamileliğine ... İhtisas Kurulunca; olay nedeni ile post travmatik stres bozukluğu yaşayan mağdurenin beden ve ruh sağlığının ... evine giderek burada da ilişkiye girdiklerini, başka bir ev tutup birlikte yaşamaya başladıklarını ve hamile ... cinsel ilişkiye girdiğini, sanığın kızlığını bozduğunu, tehdit ederek ilişkiye girmeye devam ettiğini, ""hamilesin"
"563","Yargıtay","Ceza Genel Kurulu","2016/932","2016/426","2016-11-15","U0NTTkZNWGdiTGhjcnJ4cWRQYVVjYXd5UUxVcGxOYkk","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/U0NTTkZNWGdiTGhjcnJ4cWRQYVVjYXd5UUxVcGxOYkk","travması, travmatik, travmasıyla, geber","Trabzon Grup Başkanlığı tarafından düzenlenen otopsi raporu incelendiğinde, maktulün ölümünün künt kafa travması ... sonucu gelişen beyin kanamasından kaynaklandığı, maktulün doğrudan ölümüne neden olacak travmatik değişimlere ... raporun sonuç kısmında; kalp damar sistemi hastası olduğu tespit edilen maktulün ölümünün künt kafa travmasıyla ... istediğini, kendisi olay yerine gidene kadar sanığın, elinde tuttuğu bastonu maktulün üzerine atarak “geber ... maktulün elinden aldığı bastonla maktulün"
"564","Yargıtay","Hukuk Dairesi","2016/11375","2016/10712","2016-11-14","dHVNN0dudU5lalJzSVltRmFqT0lVVmlhS2ZNbFhUVlI","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/dHVNN0dudU5lalJzSVltRmFqT0lVVmlhS2ZNbFhUVlI","hamile, travmatik","in de 6 aylık hamile olduğunu öğrendiğini, müvekkilinin yaşadığı tüm bu sarsıcı ve travmatik olaylar"
"565","Danıştay","Daire","2016/3335","2016/4715","2016-09-29","WGl4NjZ3OERxa3dVRVdwR1J0MkpjUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/WGl4NjZ3OERxa3dVRVdwR1J0MkpjUT09","travmaların, gebeliğinin, gebe, gebelik, travma","kapsamından ve bilirkişi raporundan davacı annenin hastaneye gelişi, doğum ve doğum sonrası yaşadığı travmaların ... ın gebeliğinin 33. hafta 5. gününde Cerrahpaşa Tıp Fakültesi Hastanesi'ne 10/08/2012 tarihinde müracaat ... ettiği, erken membranrüptürü (suları gelen gebe), transvers(yan) duruş bulgularıyla takibe alındığı, ... kaybı ve bir dış gebelik öyküsü) ve erken membranrüptürü (37. gebelik haftasından önce doğum eylemine ... girmeden bebeğin sularının gelmesi ve gebelik kesesi bütünlüğünü"
"566","Bölge Adliye Mahkemesi","20. Ceza Dairesi","2016/1","2016/3","2016-09-23","Vmk4MGZzWXNnU1ZIajgwVks5N1RmZz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Vmk4MGZzWXNnU1ZIajgwVks5N1RmZz09","travma, hamile","Hastanesinin 16/06/2014 gün ve 2014/72 sayılı raporunda … genital muayenede, hymende eski yada yeni bir travma ... Annem hamile idi. Ayrıca küçük kardeşim de vardı. Annemin evde bulunmaması söz konusu değildir. ... hastanesinin raporu ve rapor içeriğine göre mağdurenin genetal muayenesinde himende eski yada yeni bir travma ... durumu karakola bildirerek şikayetçi olduğu, Yapılan Genital muayenede, himende eski ya da yeni bir travma"
"567","A.İ.H.M.","A.İ.H.M.","2010/26470","2016/","2016-09-20","RzJzU2RXL1ZQa3lXWkU3N0ZXVFJCTkt1UkRhYjFBRmE","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RzJzU2RXL1ZQa3lXWkU3N0ZXVFJCTkt1UkRhYjFBRmE","gebeymiş, travmaya, travma","Askere gittiği sırada, ilgilinin eşi gebeymiş ve ikinci bebek doğduktan üç gün sonra söz konusu bebek ... Söz konusu kırıklar travmaya bağlı meydana gelmiştir. Bu travma darba bağlı olabilir. ... Bu nedenle, karın bölgesinde bir travma da kusmaya neden olabilir. ... Müteveffanın, kardiyo pulmoner yeniden canlandırma işlemi öncesinde travmaya maruz kalıp kalmadığının"
"568","Anayasa","Bölüm","2014/10459","2016/","2016-07-13","V0hPN2tYTWhHWGRaVGt3NGE4WjM4QT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/V0hPN2tYTWhHWGRaVGt3NGE4WjM4QT09","boğazına, travmatik","'ın boğazına sarılmaya çalışınca aracı yol kenarında durdurup takviye gelen ekip ile şahıslara biber ... 'ın boğazına sarılmaya çalışınca aracı yol kenarında durdurup takviye gelen ekip ile şahıslara biber ... teminen gönderilmesi halinde yeniden değerlendirileceğine, Kafatası kemiklerinde kırık, kafa içi travmatik ... Kafa kemiklerinde kırık, kafa içi travmatik değişim, iç organ ve büyük damar yaralanması tarif edilmediğine ... teminen gönderilmesi halinde yeniden değerlendirileceğine, Kafatası"
"569","A.İ.H.M.","A.İ.H.M.","2011/63034","2016/","2016-06-28","NXV4SzZqRlJTQU9KSXdVZkFMRFpieFk0ZFVscGNtWS8","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/NXV4SzZqRlJTQU9KSXdVZkFMRFpieFk0ZFVscGNtWS8","boğazına, travma, boğazını, gebelik","(…) Eve gelip polisleri gördüğünde, bıçağı boğazına dayadı ve kendini öldürmekle tehdit etti. ... Aynı gün, Fatma Babatlı’nın sol kol dirsek hizasında kunt travma sonucu ekimoz ve hiperemi mevcut ... fiziksel şiddete maruz kalmış ve şiddete uğrayanların yaklaşık yarısı ise (% 46) vurma, tekmeleme, boğazını ... (…) Hatta araştırma sonuçları gebelik döneminde, her 10 kadından birinin fiziksel şiddete maruz ... Fiziksel şiddet, her on kadının neredeyse birinde gebelik sırasında da devam etmektedir."
"570","Anayasa","Genel Kurul","2013/3262","2016/","2016-05-11","d1Vob05xam1IYWJ2T3k5aURld051QT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/d1Vob05xam1IYWJ2T3k5aURld051QT09","boğazlıyan, gebe, hamile, travma, travmatize, gebeliklerin","Bu karara karşı başvurucu tarafından yapılan itiraz, Boğazlıyan Ağır Ceza Mahkemesinin 7/3/2012 tarihli ... fiillerin; a) Çocuğa, beden veya ruh bakımından kendisini savunamayacak durumda bulunan kişiye ya da gebe ... yapılmasına, e) Barınma tedbiri, barınma yeri olmayan çocuklu kimselere veya hayatı tehlikede olan hamile ... İşkence ile bağlantılı ana psikiyatrik bozukluklar, travma sonrası stress bozukluğu (TSSB) ve majör depresyondur ... Bu tür bozuklukların, nüfusun genelinde de gözleniyor o"
"571","Yargıtay","Ceza Dairesi","2013/31417","2016/4925","2016-05-05","VXNnRGp0U2xBaVBWb096bStOQzRnQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VXNnRGp0U2xBaVBWb096bStOQzRnQT09","travma, boğazına","İhtisas Kurulundan alınan ""..subklinik travma sonrası stres bozukluğu tespit edildiğine, ruh sağlığının ... evine çıkmak için merdivenlere yöneldiğini, bu arada sanığın peşinden gelmiş olduğunu gördüğünü, birden boğazına"
"572","Anayasa","Genel Kurul","2013/3782","2016/","2016-04-21","M0dwMXpsMlZwVlNGeVZyU05reVBUQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/M0dwMXpsMlZwVlNGeVZyU05reVBUQT09","boğazını, boğaz, boğazımı, boğazındaki, boğazının, travmatik","kilitlendiği, kapının kilitlenmesinden sonra Hasan Özer'in ayakkabısı ile camı kırdığı ve cam kırıkları ile boğazını ... kesmeye çalıştığı, bunun üzerine olaya müdahale edildiği, Hasan Özer'in boyun ve boğaz bölgesinde kanama ... Özer ""Bu çizikleri ben kendim yaptım, cezaevine gitmemek için ayakkabı ile cama vurdum, cam kırılınca boğazımı ... Yapılan incelemede asılı şahsın boğazındaki kumaşın, siyah beyaz çizgili, kareli gömlek parçasından ip ... Fıskiyenin bulunduğu noktadaki bağlantı ile şahs"
"573","Yargıtay","Ceza Dairesi","2015/9892","2016/6447","2016-04-14","MjBLM0ZrejNqRDN5K1c5RVkwZjNLUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/MjBLM0ZrejNqRDN5K1c5RVkwZjNLUT09","gebe, gebeliği, gebelik, travmatik","Hastanesine miadında ağrılı gebe olarak yatırıldığı, ilk gebeliği olduğu, yapılan gebelik USG tetkikinde ... fetal kalp atışı pozitif olan 38 haftalık normal gebelik tespit edildiği, saat 8.30'da Dr. ... tarafından ... yapılan gebelik muayenesinin normal olması sebebiyle normal doğum kararı alındığı, indüksiyona başlandığı ... , saat 09.30'da NST tetkiki yapıldığı, saat 8.30'dan saat 11.30'a kadar her yarım saatte bir gebelik ... ettiği, saat 10.00'da NST tetkiki yapıldığı, reaktif olarak değerl"
"574","Askeri Yargıtay","Daire","2016/203","2016/241","2016-04-05","T3BSNTRIeWRrV3JxeVRIREJodjRMQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/T3BSNTRIeWRrV3JxeVRIREJodjRMQT09","travmatik, boğazı","düşmelerde de yalnızca yüz ve ayak bölgeleri ile sınırlı lezyonlardan ziyade, diğer vücut bölgelerindeki travmatik ... yüksekliğinin veya düşme bölgesinin belirlenmesinin tıbben mümkün olmadığı, mağdurun kafasına ve çenesi ile boğazı"
"575","Yargıtay","Ceza Genel Kurulu","2015/1158","2016/146","2016-03-29","M3NMMURncDAwR2VHMWlrbmV1ZFpUMXBLK21MVERSNEw","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/M3NMMURncDAwR2VHMWlrbmV1ZFpUMXBLK21MVERSNEw","travmaya, hamile","öldüğü, Ölü muayene ve otopsi tutanağında; maktulenin 167 cm boyunda, 50 kg ağırlığında olduğu, künt travmaya ... mutlu olduklarını bildiğini, ...n zaman zaman eşinin kendisi ile ilgilendiğini söylediğini, kendisinin hamile"
"576","Yargıtay","Ceza Dairesi","2015/15641","2016/3854","2016-03-10","QXpnR2pQSFZESzV1SEpCYTNnNnUzUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/QXpnR2pQSFZESzV1SEpCYTNnNnUzUT09","gebelik, travması, gebe","ettiği ve ebelere normal doğum hazırlığı yapılması talimatı verdiği, bunun üzerine katılanın sanığa “gebelik ... olasılıkla konjetinal olduğu, doğumdaki hipoksiden kaynaklanmadığı, ancak doğum sırasında oluşabilecek doğum travması ... nın suyu gelmiş miadında ağrılı gebe olarak ..."
"577","Yargıtay","Ceza Genel Kurulu","2014/1-481","2016/84","2016-02-23","TDRXU1A5YndsSGRaREYzbERwUGpySmFIZGU0eVBFaXM","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/TDRXU1A5YndsSGRaREYzbERwUGpySmFIZGU0eVBFaXM","boğazlıyan, travma","nitelikli yağma, kişiyi hürriyetinden yoksun kılma ve mala zarar verme suçlarından beraatine ilişkin, Boğazlıyan ... Boğazlıyan ... sorulduğunda “abi bende teslim olmak için polis arıyordum. 24.06.2011 günü saat 23.45 sıralarında Boğazlıyan ... gördüğü hastanede vefat eden maktulün, 158 cm. boyunda, 55-60 kğ. ağırlığında olduğu, başına aldığı künt travma ... ağaç motoru ve matkap pazarlama işi ile uğraştığını, Tokat’ta ikamet ettiğini, 21.06.2011 günü Boğazlıyan ... Tokat ilinde ikamet eden ve s"
"578","Anayasa","Bölüm","2013/4383","2016/","2016-02-18","d3pnMFdlZlA5WlZaRmFOckx3a09HQT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/d3pnMFdlZlA5WlZaRmFOckx3a09HQT09","travma, boğazına","iki olaydan hangisine bağlı olduğu konusunda kanaat takdirine tıbben imkân bulunmayıp mevcut fiziksel travma ... odada bulunan İnfaz Koruma Memuru B.K.nın kendisine gülmesi üzerine tartışmaya başladıklarını; B.K.nın, boğazına"
"579","Yargıtay","Ceza Genel Kurulu","2015/425","2016/61","2016-02-16","T3E0blVWTk1qYllvT25RS0ZDZXJEQm1jcWgzdGVGS1o","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/T3E0blVWTk1qYllvT25RS0ZDZXJEQm1jcWgzdGVGS1o","hamileliğin, hamile, travma, boğazında, boğazına, gebeliğin","şikâyetçi olduğu, ancak dosya içeriğine göre sanığın fiilinin zorla olduğuna dair delil bulunmadığı, hamileliğin ... düzenlenen 03.08.2012 günlü raporda; mağdurenin son âdet tarihine göre otuzbir hafta ve beş günlük hamile ... yapılan muayenesinde, mağduru bulunduğu olaydan kaynaklanmış ruh sağlığını bozacak mahiyet ve derecede travma ... testi yaptığını, yirmi haftalık hamile olduğunu öğrendiğini, babası dışında ailesine durumu söylediğini ... Mağdurenin annesi ... aşamalarda özetle; Ocak ayı b"
"580","Yargıtay","Ceza Dairesi","2013/29426","2016/509","2016-02-10","YXVrbExEZk94NHd0STk5RkY4MXZLdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/YXVrbExEZk94NHd0STk5RkY4MXZLdz09","boğazına, travmatik, boğazıma","üzüm aldığını, evinin avlusuna girdiği sırada, kadının arkasından üzerine atladığını, boynunu tutup boğazına ... yüzeysel yaygın (eski) kesiler mevcut olduğu, bunun dışında özellikle son dört gün içerisinde oluşmuş travmatik ... içeriye girdim, evin kapısını açıp içeri girerken, şüpheli kadın arkamdan boynuma atladı, boynumu tutup boğazıma"
"581","Yargıtay","Ceza Dairesi","2015/5169","2016/337","2016-02-01","eGY3VkxIaVppVjhSRTdaNlFwd2lKdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eGY3VkxIaVppVjhSRTdaNlFwd2lKdz09","boğaz, travmatik, boğazdaki","Maktulün ölü muayene ve otopsi tutanağında bacakta iki bıçak darbesi tarif edilmekle beraber, maktulün boğaz ... ilgili 19/02/2014 tarihli rapor alınmış, bu raporun 8. sayfasında ""kesici delici alet yaraları dışındaki travmatik ... getirir nitelikte olmadıkları dikkate alındığında, kişinin kesici delici alet yaralanması dışında travmatik ... sebebi ile ilgili olarak verilen 09/04/2014 tarihli raporda, ""kesici delici alet yaraları dışındaki travmatik ... meydana getirir nitelikte olmadıkları dikk"
"582","Anayasa","Bölüm","2013/3017","2015/","2015-12-16","eC9DTHZOVXhlN0c3N0xsZ0lzbExlZz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/eC9DTHZOVXhlN0c3N0xsZ0lzbExlZz09","travması, boğazını","düzenlenen müşahede evrakında tüm batın USG normal olduğu, acil müdahale düşünülmediği, yumuşak doku travması ... tekmelendiğini, yerde iken sakalını kesmeye çalıştıklarını, kendisinin engel olmaya çalışması üzerine M.D.nin boğazını"
"583","A.İ.H.M.","Daire","2009/38804","2015/","2015-11-10","Tm5IMUFTK3B1YU85MVlUb3NCN2R6Zz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/Tm5IMUFTK3B1YU85MVlUb3NCN2R6Zz09","travmatik, gebeliğin, travmaya","tarafından, 12 Eylül 2005 tarihinde, forseps uygulamasının, nadiren kafatası kırığına yol açacak şekilde travmatik ... 'nin ne gebeliğin tıbbi bakımdan takip edildiği aşamada ne de doğum esnasında herhangi bir ihmal veya ... doktor, bebeğin ölümünün solunum ve sindirim sistemi kanaması, doğum sırasında mekanik veya anoksik travmaya"
"584","A.İ.H.M.","Daire","2008/8077","2015/","2015-11-10","aFBpRFBXY2JsZDhCeFNLSGY2ZnRTZz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/aFBpRFBXY2JsZDhCeFNLSGY2ZnRTZz09","boğazının, travma, boğaz, travmadan, travmaya","Başvuran nöbetçi hâkim önünde, bir kâğıt parçasına, boğazının ve iç organlarının acıdığını ve konuşamadığını ... sağ kulağında iltihap olduğunu ve sol kulağında travma sonucu oluşması muhtemel kulak zarı perforasyonu ... 2003 tarihinde, Diyarbakır Cumhuriyet savcısına bir yazı göndermiş ve başvuranın detaylı kulak burun boğaz ... Doktor ayrıca, perforasyonun başvuranın yakalanması sırasında veya gözaltında bulunduğu sırada travma ... kulağının arkasındaki kırmızı lekelerin, sol kulak zarında per"
"585","Anayasa","Bölüm","2013/2910","2015/","2015-11-05","aVVzR0lxb2RZN1VaTEZya3dMZjZ6dz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/aVVzR0lxb2RZN1VaTEZya3dMZjZ6dz09","travmatik, gebertirim, hamile","arasında her ayın 1. ve 3. cumartesi günü 12.00-15.00 saatleri arasında kişisel ilişki tesisine, çocuğun travmatik ... Zorla da olsa babamla gidersem onunla durmam, kendimi asar ya da gebertirim."" şeklinde beyanda bulunduğu ... yapılmasına, e) Barınma tedbiri, barınma yeri olmayan çocuklu kimselere veya hayatı tehlikede olan hamile ... öfke ve davanın niteliği dikkate alınarak çocuk ile baba arasında kişisel ilişki tesisine, çocuğun travmatik ... Zorla da olsa babamla gidersem onunla durmam, ken"
"586","Yargıtay","Ceza Dairesi","2015/13078","2015/29865","2015-10-27","amh6VSt1aXdOV3FZdDZNWjZMNGRvUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/amh6VSt1aXdOV3FZdDZNWjZMNGRvUT09","travmaya, boğaz","Antalya Eğitim ve Araştırma Hastanesi'nce verilen 08/05/2012 tarihli geçici raporunda; sağ kulakta travmaya ... bağlı kulak zarı perfarosyonu olduğu, işitme kaybı bulunduğu ve kulak - burun - boğaz konsültasyonu"
"587","Yargıtay","Ceza Dairesi","2013/12399","2015/15596","2015-10-27","S2tHajFtZjUvZGtYRlN2QXlPdTMwdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/S2tHajFtZjUvZGtYRlN2QXlPdTMwdz09","gebelik, travmalar","doktor olarak görev yapan sanığın katılan Fatma'nın rızasını almadan, aydınlatma yükümlülüğüne uymadan, gebelik ... kontrolünü yapan doktorun görüşünü sormadan normal doğum yapılmasına karar verdiği, doğum sırasındaki travmalar"
"588","A.İ.H.M.","Daire","2005/45847","2015/","2015-10-20","bHNDU3U5aitCWTh1OXNSemV4RzJtUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bHNDU3U5aitCWTh1OXNSemV4RzJtUT09","gebe, travma, hamileliği, travmatikasfiksinin, hamileliğinde","İkinci çocuğuna gebe kalan Ayten Maraş, 17 Kasım 1996 tarihinde bebeğin iri olduğunu tespit eden ve doğumu ... Ölüme neden olacak dış bir travma izine rastlanmadığı, başvuranların yakınının zehirlenmeye bağlı olarak ... örneklerde yapılan toksikolojik analizler negatif çıkmış ve yapılan otopside, vücudun dışında herhangi bir travma ... herhangi bir komplikasyon gerçekleşmeden bir çocuğunun dünyaya geldiği; - Ayten Maraş'ın ikinci hamileliği ... bebeğin ölümünün, annenin sağlık durumundan kaynakl"
"589","Anayasa","Bölüm","2013/2084","2015/","2015-10-15","c3ljdTl4L1puV3V4ZmJwV3lyVlVDdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/c3ljdTl4L1puV3V4ZmJwV3lyVlVDdz09","travmatoloji, gebelik","Adli Tıp İhtisas Kurulunun 23/2/2009 tarihli raporunun, içlerinde Üroloji, Genel Cerrahi, Ortopedi ve Travmatoloji ... sırasında kanamalı ve acil durumda olduğu halde destekleri olan hastaya müdahalede bulunmayıp, dış gebelik"
"590","Yargıtay","Ceza Dairesi","2013/16626","2015/22479","2015-10-12","c3VkU1htbjBPQ09kWE02NmdMSm5RUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/c3VkU1htbjBPQ09kWE02NmdMSm5RUT09","gebe, travmaya","Suçun; a) Çocuğa, beden veya ruh bakımından kendisini savunamayacak durumda bulunan kişiye ya da gebe ... Konuşmasında sürekli zorluğa, c) Yüzünde sabit ize, d) Yaşamını tehlikeye sokan bir duruma, e) Gebe ... ) Konuşma ya da çocuk yapma yeteneklerinin kaybolmasına, d) Yüzünün sürekli değişikliğine, e) Gebe ... incitip, haysiyet kırıcı hareketlere tahammül edilemezliği ortaya çıkarmış, bu durum başhekimde ağır bir travmaya"
"591","Anayasa","Bölüm","2013/7812","2015/","2015-10-06","U3hIenAxVzJFbnRoZ2JhejN0a3Uwdz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/U3hIenAxVzJFbnRoZ2JhejN0a3Uwdz09","boğazında, travma, travmatik","için bulunduğu caddeden bir sokağa geçmek istediği sırada bir patlama olmuş; patlamanın etkisiyle önce boğazında ... belirlenemeyen sivil bir araçla özel bir hastaneye götürülmüş; saat 19.04'te yapılan ilk muayenesinde ""Solgöze travma ... Mobilya isimli işyerinin yan sokağından geçmek isterken bir patlama sesi duyup boğazında bir yanma hissettiğini ... 2011 tarihinde düzenlenen konsültasyon formunda ""Başvurucunun plastik mermi isabeti sonucu sol gözde travma ... şikayeti nedeniyle polikliniğimiz"
"592","Yargıtay","Ceza Dairesi","2013/8746","2015/8385","2015-09-15","bnplTXlMSEVRWE4wNzBOZjhkcGMxUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/bnplTXlMSEVRWE4wNzBOZjhkcGMxUT09","hamile, travma","yaparak evlendikleri ve mağdurenin rızası ile birden fazla cinsel ilişkiye girdikleri, mağdurenin hamile ... ve derecede depresif bozukluk ve travma"
"593","A.İ.H.M.","Daire","2009/44188","2015/","2015-06-23","VEc5TzNKdEt4djkyNC9mS1A5RU1BUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/VEc5TzNKdEt4djkyNC9mS1A5RU1BUT09","travmatik, boğaz","Tıbbi raporda, başvuranın penis ve testislerde duyduğu ağrılardan şikayet ettiği ancak harici travmatik ... Öte yandan, muayenede, skrotum ve penis çevresinde travmatik lezyona rastlanmadığı, anal mukoza ve sfinkter ... Tıbbi raporda, başvuranın bir Kulak Burun Boğaz uzmanı tarafından muayene edilmesi gerektiği belirtilmiştir ... tarafından yapılmasına karar verilen ek incelemeler hakkında bilgi yani burun röntgenine ve Kulak Burun Boğaz"
"594","Yargıtay","Ceza Dairesi","2015/498","2015/3210","2015-06-23","aTVkSTVvQUR1OGZlU2RsenVqL2ladz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/aTVkSTVvQUR1OGZlU2RsenVqL2ladz09","boğazından, travma","in boğazından tutarken gördüm” yönündeki anlatımı, bu anlatımı destekler nitelikte olan ve katılanın ... tarihli rapor, yine aynı kurumca düzenlenen 14.12.2009 tarihli raporda, katılandaki yaralanmaların “künt travma"
"595","Yargıtay","Hukuk Dairesi","2015/271","2015/6422","2015-05-06","aGRuSzFmOFVHdjA2M0hSd2pCdk5vZz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/aGRuSzFmOFVHdjA2M0hSd2pCdk5vZz09","hamile, travmatik","Tren İstasyonunda hamile eşine yardım ettiği sırada trenin ani hareket etmesiyle raylar üzerine düştüğünü ... 27.680,00 TL olmasına göre bu miktarın bilirkişice tespit edilen miktarın içinde kaldığı, davacı gibi travmatik"
"596","Yargıtay","Ceza Genel Kurulu","2014/4-709","2015/139","2015-05-05","RlBCQlBhM3BrK01kSTNKR0JwMFdidz09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/RlBCQlBhM3BrK01kSTNKR0JwMFdidz09","boğazını, travmatik, travmasının, boğaz","alındınız, yanlış anladınız' deyince, 'sen ıslığı bana çaldın' diyerek mağdurun üzerine yürüdüğü, eli ile boğazını ... düzenlenen adli raporda; sol yüz kısmında, boyun ve ense bölgesinde, her iki el bileklerinde multiple travmatik ... lezyonlar olduğu, sağ el bileğindeki travmasının basit tıbbi müdahale ile giderilemeyecek nitelikte ... M... isimli şahsın raporunu bizzat muayene sonucu düzenledim, sol gözaltında ve sırtta travmatik lezyonlar ... Türkiye'nin en büyük ili olan İstanbul'un boğaz kı"
"597","Yargıtay","Ceza Dairesi","2014/18577","2015/7237","2015-04-30","a3lHcTlsMWdxL1FmQzBjWGNHazhhUT09","https://mevzuat.sinerjias.com.tr/ictihat/yuksek-mahkeme/yargitay%20karari/a3lHcTlsMWdxL1FmQzBjWGNHazhhUT09","gebeliği, travmatik","düşünüldü: Daha önceki evliliğinden 15 yaşında bir çocuğu olan ve gayri meşru ilişki sonucu 6-7 aylık gebeliği ... İhtisas Kurulu 26.06.2013 tarihli raporunda ise kısaca ""bebeğin travmatik bir tesirle öldüğünün tıbbi"
